quote,author,tags,likes
"Be kind, for everyone you meet is fighting a harder battle.",Plato,attributed-no-source compassion kindness,9773
"Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.",Plato,love poetry song,9371
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,Plato,darkness dishonesty fear light willful-ignorance,4030
Only the dead have seen the end of war.,Plato,dead life-lessons war warriors,3224
The price good men pay for indifference to public affairs is to be ruled by evil men.,Plato,philosophy,2713
"Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.",Plato,discipline education mentoring philosophy,2396
The heaviest penalty for declining to rule is to be ruled by someone inferior to yourself.,Plato,government inferiority politics rule,1369
"According to Greek mythology, humans were originally created with four arms, four legs and a head with two faces. Fearing their power, Zeus split them into two separate parts, condemning them to spend their lives in search of their other halves.",Plato,,1352
"I am the wisest man alive, for I know one thing, and that is that I know nothing.",Plato,apology knowing nothing paradox plato republic socrates socratic wisdome,1225
"Never discourage anyone...who continually makes progress, no matter how slow.",Plato,,1093
Love is a serious mental disease.,Plato,,1050
One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.,Plato,philosophy politics,1028
"good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws",Plato,laws people,823
The measure of a man is what he does with power.,Plato,character power,792
"Ignorance, the root and stem of every evil.",Plato,,745
"I'm trying to think, don't confuse me with facts.",Plato,,719
"If women are expected to do the same work as men, we must teach them the same things.",Plato,abilities empowerment equality gender instruction jobs men skills women work,716
"...and when one of them meets the other half, the actual half of himself, whether he be a lover of youth or a lover of another sort, the pair are lost in an amazement of love and friendship and intimacy and one will not be out of the other's sight, as I may say, even for a moment...",Plato,love soulmates,697
There is truth in wine and children,Plato,aphorism,675
Those who tell the stories rule society.,Plato,,663
"Human behavior flows from three main sources: desire, emotion, and knowledge. ",Plato,,545
The madness of love is the greatest of heaven's blessings.,Plato,,526
Education is teaching our children to desire the right things.,Plato,inspirational,508
"There are three classes of men; lovers of wisdom, lovers of honor, and lovers of gain.",Plato,,489
Courage is knowing what not to fear.,Plato,courage fear,488
"In politics we presume that everyone who knows how to get votes knows how to administer a city or a state. When we are ill... we do not ask for the handsomest physician, or the most eloquent one.",Plato,philosophy politics,481
"There are two things a person should never be angry at, what they can help, and what they cannot.",Plato,anger angry plato,459
You should not honor men more than truth.,Plato,honesty honor secrecy truth,458
"When men speak ill of thee, live so as nobody may believe them.",Plato,,448
The beginning is the most important part of the work.,Plato,beginning plato republic,404
The object of education is to teach us to love what is beautiful.,Plato,,374
A house that has a library in it has a soul.,Plato,attributed-no-source,365
"How can you prove whether at this moment we are sleeping, and all our thoughts are a dream; or whether we are awake, and talking to one another in the waking state? ",Plato,,362
"Those who are able to see beyond the shadows and lies of their culture will never be understood, let alone believed, by the masses.",Plato,,354
Necessity is the mother of invention.,Plato,aphorism,343
The greatest wealth is to live content with little.,Plato,contentment living simple,309
Death is not the worst that can happen to men.,Plato,,306
"Bodily exercise, when compulsory, does no harm to the body; but knowledge which is acquired under compulsion obtains no hold on the mind.",Plato,compulsion education knowledge learning teaching,296
Love is simply the name for the desire and pursuit of the whole.,Plato,,295
"An empty vessel makes the loudest sound, so they that have the least wit are the greatest babblers.",Plato,,281
Beauty lies in the eyes of the beholder,Plato,,278
No man should bring children into the world who is unwilling to persevere to the end in their nature and education.,Plato,children kids parent parenting,277
Character is simply habit long continued.,Plato,,277
"Musical innovation is full of danger to the State, for when modes of music change, the fundamental laws of the State always change with them.",Plato,law music state,275
"You're my Star, a stargazer too,and I wish that I were Heaven,with a billion eyes to look at you!",Plato,love,269
"Excellence"" is not a gift, but a skill that takes practice.We do not act ""rightly"" because we are ""excellent"",in fact we achieve ""excellence"" by acting ""rightly"".",Plato,,264
People are like dirt. They can either nourish you and help you grow as a person or they can stunt your growth and make you wilt and die.,Plato,things-plato-didn-t-say,254
"The soul takes nothing with her to the next world but her education and her culture. At the beginning of the journey to the next world, one's education and culture can either provide the greatest assistance, or else act as the greatest burden, to the person who has just died.",Plato,afterlife culture education,227
Love is born into every human being; it calls back the halves of our original nature together; it tries to make one out of two and heal the wound of human nature.,Plato,love plato symposium,222
"I thought to myself: I am wiser than this man; neither of us probably knows anything that is really good, but he thinks he has knowledge, when he has not, while I, having no knowledge, do not think I have.",Plato,apology knowledge plato socrates wisdom,219
Good actions give strength to ourselves and inspire good actions in others. ,Plato,,218
"There is in every one of us, even those who seem to be most moderate, a type of desire that is terrible, wild, and lawless.",Plato,,209
Writing is the geometry of the soul. ,Plato,writing,196
"I would teach children music, physics, and philosophy; but most importantly music, for the patterns in music and all the arts are the keys to learning",Plato,learning music,193
"A hero is born among a hundred, a wise man is found among a thousand, but an accomplished one might not be found even among a hundred thousand men. ",Plato,,189
χαλεπὰ τὰ καλάNothing beautiful without struggle.,Plato,,182
"For this feeling of wonder shows that you are a philosopher, since wonder is the only beginning of philosophy.",Plato,philosophy thinking wisdom wondering,176
Love is the pursuit of the whole.,Plato,,170
Poets utter great and wise things which they do not themselves understand.,Plato,knowledge poets,166
Have you ever sensed that our soul is immortal and never dies?,Plato,immortality philosophy-of-life soul,159
"…if a man can be properly said to love something, it must be clear that he feels affection for it as a whole, and does not love part of it to the exclusion of the rest.",Plato,love,159
"Any man may easily do harm, but not every man can do good to another.",Plato,,154
The first and best victory is to conquer self,Plato,inspirational,144
"To be afraid of death is only another form of thinking that one is wise when one is not; it is to think that one knows what one does not know. No one knows with regard to death wheather it is not really the greatest blessing that can happen to man; but people dread it as though they were certain it is the greatest evil."" -The Last Days of Socrates",Plato,plato-socrates,141
"And so, when a person meets the half that is his very own, whatever his orientation, whether it's to young men or not, then something wonderful happens: the two are struck from their senses by love, by a sense of belonging to one another, and by desire, and they don't want to be separated from one another, not even for a moment.",Plato,love plato symposium,138
